*******************************************************************************
*** Historical Isotopic Temperature Record from the Vostok Ice Core         ***
***                                                                         *** 
*** The data available from CDIAC represent a major effort by researchers   ***
*** from France, Russia, and the U.S.A.  We ask as a professional courtesy  ***
*** (and as a condition for its use by you) that when you refer to this     ***
*** data set in publications you cite the following papers.                 ***
***                                                                         ***
***  Jouzel, J., C. Lorius, J.R. Petit, C. Genthon, N.I. Barkov,            ***
***   V.M. Kotlyakov, and V.M. Petrov. 1987.  Vostok ice core: a continuous ***
***   isotope temperature record over the last climatic cycle (160,000      ***
***   years). Nature 329:403-8.                                             ***
***                                                                         ***
***  Jouzel, J., N.I. Barkov, J.M. Barnola, M. Bender, J. Chappellaz,       ***
***   C. Genthon, V.M. Kotlyakov, V. Lipenkov, C. Lorius, J.R. Petit,       ***
***   D. Raynaud, G. Raisbeck, C. Ritz, T. Sowers, M. Stievenard, F. Yiou,  ***
***   and P. Yiou. 1993. Extending the Vostok ice-core record of            ***
***   palaeoclimate to the penultimate glacial period. Nature 364:407-12.   ***
***                                                                         ***
***  Jouzel, J., C. Waelbroeck, B. Malaize, M. Bender, J.R. Petit,          ***
***   M. Stievenard, N.I. Barkov, J.M. Barnola, T. King, V.M. Kotlyakov,    ***
***   V. Lipenkov, C. Lorius, D. Raynaud, C. Ritz, and T. Sowers. 1996.     ***
***   Climatic interpretation of the recently extended Vostok ice records.  ***
***   Climate Dynamics 12:513-521.                                          ***
***                                                                         ***
***  Petit, J.R., J. Jouzel, D. Raynaud, N.I. Barkov, J.-M. Barnola,        ***
***   I. Basile, M. Bender, J. Chappellaz, M. Davis, G. Delayque,           ***
***   M. Delmotte, V.M. Kotlyakov, M. Legrand, V.Y. Lipenkov, C. Lorius,    ***
***   L. Pepin, C. Ritz, E. Saltzman, and M. Stievenard. 1999.              ***
***   Climate and atmospheric history of the past 420,000 years from the    ***
***   Vostok ice core, Antarctica. Nature 399: 429-436.                     ***
***                                                                         ***
*** Source: J. R. Petit                                                     ***
***         D. Raynaud                                                      ***
***         C. Lorius                                                       ***
***         Laboratoire de Glaciologie et de Geophysique de l'Environnement ***
***         38402 Saint Martin d'Heres Cedex, France                        ***
***                                                                         ***
***         J. Jouzel                                                       ***
***         G. Delaygue                                                     ***
***         Laboratoire des Sciences du Climat et de l'Environment          ***
***         (UMR CEA/CNRS 1572)                                             ***
***         91191 Gif-sur-Yvette Cedex, France                              ***
***                                                                         ***
***         N. I. Barkov                                                    ***
***         Arctic and Antarctic Research Institute                         ***
***         Beringa Street 38                                               ***
***         St. Petersburg 199397, Russia                                   ***
***                                                                         ***
***         V. M. Kotlyakov                                                 ***
***         Institute of Geography                                          ***
***         Staromonetny, per 29, Moscow 109017, Russia                     ***
***                                                                         ***
*** January 2000                                                            ***
*******************************************************************************
#                   Deuterium               
#         Age of     content   Temperature
# Depth   the ice   of the ice  Variation
#  (m)    (yr BP)   (delta D)    (deg C)
# 
 574    35185       -468.1       -5.90
 575    35261       -467.6       -5.82
 576    35336       -465.0       -5.39
 577    35409       -464.1       -5.24
 578    35482       -464.9       -5.37
 579    35556       -466.0       -5.55
 580    35631       -466.6       -5.65
 581    35705       -465.1       -5.41
 582    35780       -466.4       -5.62
 583    35855       -467.0       -5.72
 584    35930       -467.3       -5.77
 585    36007       -470.0       -6.22
 586    36086       -471.1       -6.40
 587    36166       -472.9       -6.70
 588    36248       -474.9       -7.03
 589    36331       -476.0       -7.22
 590    36416       -478.9       -7.70
 591    36502       -476.5       -7.30
 592    36585       -472.7       -6.67
 593    36666       -474.5       -6.97
 594    36748       -472.6       -6.65
 595    36827       -468.8       -6.02
 596    36905       -470.6       -6.32
 597    36985       -472.4       -6.62
 598    37066       -473.3       -6.76
 599    37148       -474.1       -6.90
 600    37230       -474.1       -6.90
 601    37313       -474.5       -6.97
 602    37396       -475.9       -7.20
 603    37479       -473.5       -6.80
 604    37558       -468.5       -5.97
 605    37637       -471.0       -6.38
 606    37718       -474.0       -6.88
 607    37799       -472.3       -6.60
 608    37880       -471.4       -6.45
 609    37959       -470.5       -6.30
 610    38039       -471.3       -6.43
 611    38120       -472.7       -6.66
 612    38201       -473.5       -6.80
 613    38284       -474.5       -6.96
 614    38367       -475.3       -7.09
 615    38451       -475.8       -7.18
 616    38535       -475.8       -7.18
 617    38619       -474.4       -6.94
 618    38702       -473.1       -6.73
 619    38783       -472.9       -6.69
 620    38865       -472.6       -6.64
 621    38946       -472.4       -6.60
 622    39027       -472.1       -6.56
 623    39107       -470.0       -6.21
 624    39185       -468.3       -5.93
 625    39263       -468.3       -5.93
 626    39341       -469.7       -6.16
 627    39420       -470.2       -6.24
 628    39499       -470.2       -6.24
 629    39579       -469.5       -6.13
 630    39657       -469.5       -6.13
 631    39735       -468.2       -5.91
 632    39812       -465.6       -5.48
 633    39889       -470.2       -6.24
 634    39971       -474.5       -6.96
 635    40054       -474.2       -6.91
 636    40138       -476.0       -7.21
 637    40223       -475.2       -7.07
 638    40305       -470.6       -6.31
 639    40386       -471.8       -6.51
 640    40468       -474.2       -6.91
 641    40551       -473.0       -6.71
 642    40632       -472.1       -6.56
 643    40714       -472.8       -6.67
 644    40796       -471.5       -6.46
 645    40875       -467.2       -5.74
 646    40952       -467.2       -5.74
 647    41031       -471.0       -6.37
 648    41112       -472.3       -6.59
 649    41191       -468.1       -5.89
 650    41268       -463.9       -5.19
 651    41342       -463.4       -5.11
 652    41415       -462.9       -5.02
 653    41489       -463.3       -5.09
 654    41564       -465.7       -5.48
 655    41638       -461.6       -4.80
 656    41710       -460.0       -4.53
 657    41782       -463.3       -5.08
 658    41855       -461.7       -4.81
 659    41927       -460.9       -4.68
 660    42001       -464.5       -5.27
 661    42077       -467.0       -5.69
 662    42152       -462.8       -4.99
 663    42225       -460.8       -4.65
 664    42298       -464.7       -5.30
 665    42374       -467.1       -5.70
 666    42451       -465.3       -5.40
 667    42527       -465.9       -5.49
 668    42603       -465.5       -5.43
 669    42679       -467.1       -5.69
 670    42758       -469.8       -6.13
 671    42837       -468.7       -5.95
 672    42916       -468.3       -5.88
 673    42994       -468.6       -5.93
 674    43073       -467.8       -5.80
 675    43150       -466.2       -5.53
 676    43226       -466.0       -5.50
 677    43304       -469.3       -6.04
 678    43385       -471.8       -6.45
 679    43464       -465.6       -5.42
 680    43540       -465.9       -5.47
 681    43619       -473.2       -6.68
 682    43702       -472.7       -6.60
 683    43785       -472.0       -6.48
 684    43868       -474.8       -6.94
 685    43952       -474.4       -6.88
 686    44036       -473.5       -6.72
 687    44120       -475.1       -6.99
 688    44206       -476.8       -7.27
 689    44292       -474.8       -6.94
 690    44377       -475.0       -6.97
 691    44463       -478.3       -7.51
 692    44551       -476.0       -7.13
 693    44634       -470.1       -6.15
 694    44715       -472.5       -6.55
 695    44800       -477.9       -7.44
 696    44887       -475.5       -7.04
 697    44972       -473.3       -6.68
