 Entrer le temps:
    0.24500000000000
   i       r         u         rho         p          e
   37  3.564E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   38  3.662E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   39  3.760E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   40  3.857E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   41  3.955E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   42  4.053E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   43  4.150E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   44  4.248E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   45  4.346E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   46  4.443E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   47  4.541E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   48  4.639E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   49  4.736E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   50  4.834E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   51  4.932E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   52  5.029E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   53  5.127E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   54  5.225E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   55  5.322E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   56  5.420E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   57  5.518E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   58  5.615E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   59  5.713E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   60  5.811E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   61  5.908E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   62  6.006E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   63  6.104E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   64  6.201E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   65  6.299E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   66  6.396E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   67  6.494E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   68  6.592E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   69  6.689E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   70  6.787E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   71  6.885E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   72  6.982E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   73  7.080E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   74  7.178E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   75  7.275E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   76  7.373E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   77  7.471E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   78  7.568E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   79  7.666E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   80  7.764E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   81  7.861E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   82  7.959E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   83  8.057E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   84  8.154E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   85  8.252E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   86  8.350E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   87  8.447E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   88  8.545E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   89  8.643E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   90  8.740E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   91  8.838E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   92  8.936E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   93  9.033E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   94  9.131E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   95  9.229E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   96  9.326E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   97  9.424E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   98  9.521E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
   99  9.619E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  100  9.717E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  101  9.814E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  102  9.912E-02  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  103  1.001E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  104  1.011E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  105  1.021E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  106  1.030E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  107  1.040E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  108  1.050E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  109  1.060E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  110  1.069E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  111  1.079E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  112  1.089E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  113  1.099E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  114  1.108E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  115  1.118E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  116  1.128E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  117  1.138E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  118  1.147E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  119  1.157E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  120  1.167E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  121  1.177E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  122  1.187E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  123  1.196E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  124  1.206E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  125  1.216E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  126  1.226E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  127  1.235E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  128  1.245E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  129  1.255E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  130  1.265E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  131  1.274E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  132  1.284E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  133  1.294E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  134  1.304E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  135  1.313E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  136  1.323E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  137  1.333E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  138  1.343E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  139  1.353E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  140  1.362E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  141  1.372E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  142  1.382E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  143  1.392E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  144  1.401E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  145  1.411E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  146  1.421E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  147  1.431E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  148  1.440E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  149  1.450E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  150  1.460E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  151  1.470E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  152  1.479E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  153  1.489E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  154  1.499E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  155  1.509E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  156  1.519E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  157  1.528E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  158  1.538E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  159  1.548E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  160  1.558E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  161  1.567E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  162  1.577E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  163  1.587E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  164  1.597E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  165  1.606E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  166  1.616E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  167  1.626E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  168  1.636E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  169  1.646E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  170  1.655E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  171  1.665E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  172  1.675E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  173  1.685E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  174  1.694E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  175  1.704E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  176  1.714E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  177  1.724E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  178  1.733E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  179  1.743E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  180  1.753E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  181  1.763E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  182  1.772E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  183  1.782E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  184  1.792E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  185  1.802E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  186  1.812E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  187  1.821E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  188  1.831E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  189  1.841E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  190  1.851E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  191  1.860E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  192  1.870E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  193  1.880E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  194  1.890E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  195  1.899E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  196  1.909E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  197  1.919E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  198  1.929E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  199  1.938E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  200  1.948E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  201  1.958E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  202  1.968E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  203  1.978E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  204  1.987E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  205  1.997E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  206  2.007E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  207  2.017E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  208  2.026E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  209  2.036E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  210  2.046E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  211  2.056E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  212  2.065E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  213  2.075E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  214  2.085E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  215  2.095E-01  0.000E+00  1.000E+00  1.000E+00  2.500E+00
  216  2.104E-01  1.147E-03  9.990E-01  9.986E-01  2.499E+00
  217  2.114E-01  4.468E-03  9.962E-01  9.947E-01  2.496E+00
  218  2.124E-01  7.790E-03  9.934E-01  9.908E-01  2.493E+00
  219  2.134E-01  1.111E-02  9.906E-01  9.869E-01  2.491E+00
  220  2.144E-01  1.443E-02  9.879E-01  9.830E-01  2.488E+00
  221  2.153E-01  1.775E-02  9.851E-01  9.792E-01  2.485E+00
  222  2.163E-01  2.108E-02  9.823E-01  9.753E-01  2.482E+00
  223  2.173E-01  2.440E-02  9.795E-01  9.715E-01  2.479E+00
  224  2.183E-01  2.772E-02  9.768E-01  9.677E-01  2.477E+00
  225  2.192E-01  3.104E-02  9.740E-01  9.638E-01  2.474E+00
  226  2.202E-01  3.436E-02  9.713E-01  9.600E-01  2.471E+00
  227  2.212E-01  3.768E-02  9.686E-01  9.563E-01  2.468E+00
  228  2.222E-01  4.101E-02  9.658E-01  9.525E-01  2.465E+00
  229  2.231E-01  4.433E-02  9.631E-01  9.487E-01  2.463E+00
  230  2.241E-01  4.765E-02  9.604E-01  9.450E-01  2.460E+00
  231  2.251E-01  5.097E-02  9.577E-01  9.412E-01  2.457E+00
  232  2.261E-01  5.429E-02  9.549E-01  9.375E-01  2.454E+00
  233  2.271E-01  5.761E-02  9.522E-01  9.338E-01  2.452E+00
  234  2.280E-01  6.094E-02  9.495E-01  9.301E-01  2.449E+00
  235  2.290E-01  6.426E-02  9.469E-01  9.264E-01  2.446E+00
  236  2.300E-01  6.758E-02  9.442E-01  9.227E-01  2.443E+00
  237  2.310E-01  7.090E-02  9.415E-01  9.191E-01  2.440E+00
  238  2.319E-01  7.422E-02  9.388E-01  9.154E-01  2.438E+00
  239  2.329E-01  7.754E-02  9.362E-01  9.118E-01  2.435E+00
  240  2.339E-01  8.087E-02  9.335E-01  9.082E-01  2.432E+00
  241  2.349E-01  8.419E-02  9.308E-01  9.045E-01  2.429E+00
  242  2.358E-01  8.751E-02  9.282E-01  9.009E-01  2.427E+00
  243  2.368E-01  9.083E-02  9.256E-01  8.974E-01  2.424E+00
  244  2.378E-01  9.415E-02  9.229E-01  8.938E-01  2.421E+00
  245  2.388E-01  9.747E-02  9.203E-01  8.902E-01  2.418E+00
  246  2.397E-01  1.008E-01  9.177E-01  8.867E-01  2.416E+00
  247  2.407E-01  1.041E-01  9.150E-01  8.831E-01  2.413E+00
  248  2.417E-01  1.074E-01  9.124E-01  8.796E-01  2.410E+00
  249  2.427E-01  1.108E-01  9.098E-01  8.761E-01  2.407E+00
  250  2.437E-01  1.141E-01  9.072E-01  8.726E-01  2.405E+00
  251  2.446E-01  1.174E-01  9.046E-01  8.691E-01  2.402E+00
  252  2.456E-01  1.207E-01  9.020E-01  8.656E-01  2.399E+00
  253  2.466E-01  1.240E-01  8.995E-01  8.621E-01  2.396E+00
  254  2.476E-01  1.274E-01  8.969E-01  8.587E-01  2.394E+00
  255  2.485E-01  1.307E-01  8.943E-01  8.552E-01  2.391E+00
  256  2.495E-01  1.340E-01  8.918E-01  8.518E-01  2.388E+00
  257  2.505E-01  1.373E-01  8.892E-01  8.484E-01  2.385E+00
  258  2.515E-01  1.407E-01  8.866E-01  8.450E-01  2.383E+00
  259  2.524E-01  1.440E-01  8.841E-01  8.416E-01  2.380E+00
  260  2.534E-01  1.473E-01  8.816E-01  8.382E-01  2.377E+00
  261  2.544E-01  1.506E-01  8.790E-01  8.348E-01  2.374E+00
  262  2.554E-01  1.539E-01  8.765E-01  8.315E-01  2.372E+00
  263  2.563E-01  1.573E-01  8.740E-01  8.281E-01  2.369E+00
  264  2.573E-01  1.606E-01  8.715E-01  8.248E-01  2.366E+00
  265  2.583E-01  1.639E-01  8.689E-01  8.215E-01  2.363E+00
  266  2.593E-01  1.672E-01  8.664E-01  8.181E-01  2.361E+00
  267  2.603E-01  1.706E-01  8.639E-01  8.148E-01  2.358E+00
  268  2.612E-01  1.739E-01  8.614E-01  8.115E-01  2.355E+00
  269  2.622E-01  1.772E-01  8.590E-01  8.083E-01  2.352E+00
  270  2.632E-01  1.805E-01  8.565E-01  8.050E-01  2.350E+00
  271  2.642E-01  1.838E-01  8.540E-01  8.017E-01  2.347E+00
  272  2.651E-01  1.872E-01  8.515E-01  7.985E-01  2.344E+00
  273  2.661E-01  1.905E-01  8.491E-01  7.953E-01  2.342E+00
  274  2.671E-01  1.938E-01  8.466E-01  7.920E-01  2.339E+00
  275  2.681E-01  1.971E-01  8.441E-01  7.888E-01  2.336E+00
  276  2.690E-01  2.004E-01  8.417E-01  7.856E-01  2.333E+00
  277  2.700E-01  2.038E-01  8.392E-01  7.824E-01  2.331E+00
  278  2.710E-01  2.071E-01  8.368E-01  7.793E-01  2.328E+00
  279  2.720E-01  2.104E-01  8.344E-01  7.761E-01  2.325E+00
  280  2.729E-01  2.137E-01  8.320E-01  7.729E-01  2.323E+00
  281  2.739E-01  2.171E-01  8.295E-01  7.698E-01  2.320E+00
  282  2.749E-01  2.204E-01  8.271E-01  7.666E-01  2.317E+00
  283  2.759E-01  2.237E-01  8.247E-01  7.635E-01  2.315E+00
  284  2.769E-01  2.270E-01  8.223E-01  7.604E-01  2.312E+00
  285  2.778E-01  2.303E-01  8.199E-01  7.573E-01  2.309E+00
  286  2.788E-01  2.337E-01  8.175E-01  7.542E-01  2.306E+00
  287  2.798E-01  2.370E-01  8.151E-01  7.511E-01  2.304E+00
  288  2.808E-01  2.403E-01  8.127E-01  7.481E-01  2.301E+00
  289  2.817E-01  2.436E-01  8.104E-01  7.450E-01  2.298E+00
  290  2.827E-01  2.469E-01  8.080E-01  7.420E-01  2.296E+00
  291  2.837E-01  2.503E-01  8.056E-01  7.389E-01  2.293E+00
  292  2.847E-01  2.536E-01  8.033E-01  7.359E-01  2.290E+00
  293  2.856E-01  2.569E-01  8.009E-01  7.329E-01  2.288E+00
  294  2.866E-01  2.602E-01  7.986E-01  7.299E-01  2.285E+00
  295  2.876E-01  2.636E-01  7.962E-01  7.269E-01  2.282E+00
  296  2.886E-01  2.669E-01  7.939E-01  7.239E-01  2.280E+00
  297  2.896E-01  2.702E-01  7.916E-01  7.209E-01  2.277E+00
  298  2.905E-01  2.735E-01  7.892E-01  7.180E-01  2.274E+00
  299  2.915E-01  2.768E-01  7.869E-01  7.150E-01  2.271E+00
  300  2.925E-01  2.802E-01  7.846E-01  7.121E-01  2.269E+00
  301  2.935E-01  2.835E-01  7.823E-01  7.091E-01  2.266E+00
  302  2.944E-01  2.868E-01  7.800E-01  7.062E-01  2.263E+00
  303  2.954E-01  2.901E-01  7.777E-01  7.033E-01  2.261E+00
  304  2.964E-01  2.935E-01  7.754E-01  7.004E-01  2.258E+00
  305  2.974E-01  2.968E-01  7.731E-01  6.975E-01  2.255E+00
  306  2.983E-01  3.001E-01  7.708E-01  6.946E-01  2.253E+00
  307  2.993E-01  3.034E-01  7.686E-01  6.917E-01  2.250E+00
  308  3.003E-01  3.067E-01  7.663E-01  6.889E-01  2.247E+00
  309  3.013E-01  3.101E-01  7.640E-01  6.860E-01  2.245E+00
  310  3.022E-01  3.134E-01  7.618E-01  6.832E-01  2.242E+00
  311  3.032E-01  3.167E-01  7.595E-01  6.804E-01  2.240E+00
  312  3.042E-01  3.200E-01  7.573E-01  6.775E-01  2.237E+00
  313  3.052E-01  3.233E-01  7.550E-01  6.747E-01  2.234E+00
  314  3.062E-01  3.267E-01  7.528E-01  6.719E-01  2.232E+00
  315  3.071E-01  3.300E-01  7.505E-01  6.691E-01  2.229E+00
  316  3.081E-01  3.333E-01  7.483E-01  6.664E-01  2.226E+00
  317  3.091E-01  3.366E-01  7.461E-01  6.636E-01  2.224E+00
  318  3.101E-01  3.400E-01  7.439E-01  6.608E-01  2.221E+00
  319  3.110E-01  3.433E-01  7.416E-01  6.581E-01  2.218E+00
  320  3.120E-01  3.466E-01  7.394E-01  6.553E-01  2.216E+00
  321  3.130E-01  3.499E-01  7.372E-01  6.526E-01  2.213E+00
  322  3.140E-01  3.532E-01  7.350E-01  6.499E-01  2.210E+00
  323  3.149E-01  3.566E-01  7.329E-01  6.472E-01  2.208E+00
  324  3.159E-01  3.599E-01  7.307E-01  6.445E-01  2.205E+00
  325  3.169E-01  3.632E-01  7.285E-01  6.418E-01  2.202E+00
  326  3.179E-01  3.665E-01  7.263E-01  6.391E-01  2.200E+00
  327  3.188E-01  3.698E-01  7.241E-01  6.364E-01  2.197E+00
  328  3.198E-01  3.732E-01  7.220E-01  6.338E-01  2.195E+00
  329  3.208E-01  3.765E-01  7.198E-01  6.311E-01  2.192E+00
  330  3.218E-01  3.798E-01  7.177E-01  6.285E-01  2.189E+00
  331  3.228E-01  3.831E-01  7.155E-01  6.258E-01  2.187E+00
  332  3.237E-01  3.865E-01  7.134E-01  6.232E-01  2.184E+00
  333  3.247E-01  3.898E-01  7.112E-01  6.206E-01  2.181E+00
  334  3.257E-01  3.931E-01  7.091E-01  6.180E-01  2.179E+00
  335  3.267E-01  3.964E-01  7.070E-01  6.154E-01  2.176E+00
  336  3.276E-01  3.997E-01  7.048E-01  6.128E-01  2.174E+00
  337  3.286E-01  4.031E-01  7.027E-01  6.102E-01  2.171E+00
  338  3.296E-01  4.064E-01  7.006E-01  6.077E-01  2.168E+00
  339  3.306E-01  4.097E-01  6.985E-01  6.051E-01  2.166E+00
  340  3.315E-01  4.130E-01  6.964E-01  6.025E-01  2.163E+00
  341  3.325E-01  4.164E-01  6.943E-01  6.000E-01  2.161E+00
  342  3.335E-01  4.197E-01  6.922E-01  5.975E-01  2.158E+00
  343  3.345E-01  4.230E-01  6.901E-01  5.949E-01  2.155E+00
  344  3.354E-01  4.263E-01  6.880E-01  5.924E-01  2.153E+00
  345  3.364E-01  4.296E-01  6.859E-01  5.899E-01  2.150E+00
  346  3.374E-01  4.330E-01  6.839E-01  5.874E-01  2.147E+00
  347  3.384E-01  4.363E-01  6.818E-01  5.849E-01  2.145E+00
  348  3.394E-01  4.396E-01  6.797E-01  5.825E-01  2.142E+00
  349  3.403E-01  4.429E-01  6.777E-01  5.800E-01  2.140E+00
  350  3.413E-01  4.462E-01  6.756E-01  5.775E-01  2.137E+00
  351  3.423E-01  4.496E-01  6.736E-01  5.751E-01  2.134E+00
  352  3.433E-01  4.529E-01  6.715E-01  5.726E-01  2.132E+00
  353  3.442E-01  4.562E-01  6.695E-01  5.702E-01  2.129E+00
  354  3.452E-01  4.595E-01  6.675E-01  5.678E-01  2.127E+00
  355  3.462E-01  4.629E-01  6.654E-01  5.654E-01  2.124E+00
  356  3.472E-01  4.662E-01  6.634E-01  5.630E-01  2.122E+00
  357  3.481E-01  4.695E-01  6.614E-01  5.606E-01  2.119E+00
  358  3.491E-01  4.728E-01  6.594E-01  5.582E-01  2.116E+00
  359  3.501E-01  4.761E-01  6.574E-01  5.558E-01  2.114E+00
  360  3.511E-01  4.795E-01  6.554E-01  5.534E-01  2.111E+00
  361  3.521E-01  4.828E-01  6.534E-01  5.511E-01  2.109E+00
  362  3.530E-01  4.861E-01  6.514E-01  5.487E-01  2.106E+00
  363  3.540E-01  4.894E-01  6.494E-01  5.464E-01  2.103E+00
  364  3.550E-01  4.927E-01  6.474E-01  5.440E-01  2.101E+00
  365  3.560E-01  4.961E-01  6.454E-01  5.417E-01  2.098E+00
  366  3.569E-01  4.994E-01  6.434E-01  5.394E-01  2.096E+00
