id    x    y   z   n_H   flux   x_ion
229 0.508925 0.973904 0.954671 0.001 0 0
230 0.641958 0.572225 0.127327 0.001 0 0
231 0.0246953 0.51541 0.205318 0.001 0 0
232 0.318012 0.374396 0.011655 0.001 0 0
233 0.0139762 0.263631 0.87212 0.001 0 0
234 0.914964 0.603396 0.498242 0.001 0 0
235 0.522333 0.108839 0.823164 0.001 0 0
236 0.86918 0.835978 0.829872 0.001 0 0
237 0.860809 0.622815 0.347167 0.001 0 0
238 0.734463 0.276076 0.208814 0.001 0 0
239 0.691909 0.234668 0.645208 0.001 0 0
240 0.880468 0.936468 0.0948676 0.001 0 0
241 0.640458 0.0541214 0.00455072 0.001 0 0
242 0.717938 0.30857 0.843325 0.001 0 0
243 0.932025 0.520859 0.882383 0.001 0 0
244 0.764099 0.0287459 0.302784 0.001 0 0
245 0.083886 0.667929 0.924955 0.001 0 0
246 0.888805 0.561785 0.998708 0.001 0 0
247 0.774896 0.836507 0.0442818 0.001 0 0
248 0.712668 0.711986 0.0685687 0.001 0 0
249 0.499827 0.214995 0.394523 0.001 0 0
250 0.419333 0.742635 0.201947 0.001 0 0
251 0.943465 0.497975 0.256298 0.001 0 0
252 0.497255 0.215075 0.0930499 0.001 0 0
253 0.330125 0.0407736 0.686949 0.001 0 0
254 0.678046 0.404884 0.843133 0.001 0 0
255 0.966729 0.0335385 0.420392 0.001 0 0
256 0.833833 0.167119 0.394166 0.001 0 0
257 0.0931419 0.414124 0.137024 0.001 0 0
258 0.430892 0.714236 0.17272 0.001 0 0
259 0.404911 0.525535 0.942261 0.001 0 0
260 0.541961 0.469184 0.213599 0.001 0 0
261 0.426979 0.7421 0.270946 0.001 0 0
262 0.627701 0.274804 0.950855 0.001 0 0
263 0.406165 0.175803 0.554993 0.001 0 0
264 0.579103 0.267372 0.99034 0.001 0 0
265 0.438608 0.547136 0.346021 0.001 0 0
266 0.414663 0.329784 0.259731 0.001 0 0
267 0.970436 0.673013 0.957159 0.001 0 0
268 0.178499 0.347142 0.259222 0.001 0 0
269 0.955716 0.573046 0.649961 0.001 0 0
270 0.802626 0.123167 0.346937 0.001 0 0
271 0.942298 0.36899 0.525825 0.001 0 0
272 0.117429 0.879546 0.430508 0.001 0 0
273 0.819658 0.888737 0.194239 0.001 0 0
274 0.311343 0.958924 0.549244 0.001 0 0
275 0.588668 0.638993 0.171696 0.001 0 0
276 0.161418 0.744476 0.70785 0.001 0 0
277 0.890757 0.947593 0.368882 0.001 0 0
278 0.79301 0.304024 0.540994 0.001 0 0
279 0.673834 0.910221 0.702398 0.001 0 0
280 0.388597 0.0276057 0.601917 0.001 0 0
281 0.198467 0.868443 0.74788 0.001 0 0
282 0.429441 0.199831 0.822719 0.001 0 0
283 0.748898 0.915209 0.530108 0.001 0 0
284 0.153111 0.60027 0.689133 0.001 0 0
285 0.0620766 0.794572 0.401171 0.001 0 0
286 0.526335 0.899311 0.622074 0.001 0 0
287 0.690493 0.581144 0.0539672 0.001 0 0
288 0.193668 0.793623 0.649819 0.001 0 0
289 0.925864 0.587015 0.152533 0.001 0 0
290 0.745254 0.670754 0.649082 0.001 0 0
291 0.815592 0.504914 0.519926 0.001 0 0
292 0.37722 0.3103 0.442671 0.001 0 0
293 0.463358 0.321228 0.576558 0.001 0 0
294 0.241193 0.40173 0.304646 0.001 0 0
295 0.830857 0.621985 0.0584828 0.001 0 0
296 0.464324 0.686263 0.891184 0.001 0 0
297 0.55091 0.148044 0.0368093 0.001 0 0
298 0.711588 0.838735 0.406067 0.001 0 0
299 0.78287 0.800051 0.0792199 0.001 0 0
300 0.415028 0.658762 0.725938 0.001 0 0
301 0.393818 0.812609 0.845266 0.001 0 0
302 0.326504 0.0918594 0.0117276 0.001 0 0
303 0.367965 0.26705 0.505442 0.001 0 0
304 0.275822 0.776434 0.570778 0.001 0 0
305 0.96851 0.690836 0.851629 0.001 0 0
306 0.518856 0.289456 0.593225 0.001 0 0
307 0.894377 0.706919 0.244613 0.001 0 0
308 0.960528 0.8318 0.237333 0.001 0 0
309 0.636839 0.141924 0.998495 0.001 0 0
310 0.374889 0.198699 0.0805925 0.001 0 0
311 0.091307 0.129556 0.861157 0.001 0 0
312 0.525033 0.397835 0.885347 0.001 0 0
313 0.239787 0.295767 0.704619 0.001 0 0
314 0.726406 0.0648092 0.954102 0.001 0 0
315 0.00667511 0.670156 0.77444 0.001 0 0
316 0.104607 0.545508 0.518224 0.001 0 0
317 0.86616 0.548525 0.488707 0.001 0 0
318 0.564847 0.489706 0.415452 0.001 0 0
319 0.922161 0.366495 0.448247 0.001 0 0
320 0.088488 0.0576664 0.741928 0.001 0 0
321 0.494084 0.0210869 0.183399 0.001 0 0
322 0.974004 0.648087 0.166281 0.001 0 0
323 0.114237 0.511417 0.958498 0.001 0 0
324 0.239096 0.875626 0.980852 0.001 0 0
325 0.134539 0.420113 0.326974 0.001 0 0
326 0.454099 0.0599884 0.976615 0.001 0 0
327 0.869017 0.993193 0.609681 0.001 0 0
328 0.191785 0.338509 0.628725 0.001 0 0
329 0.913545 0.944414 0.846084 0.001 0 0
330 0.981656 0.272615 0.176234 0.001 0 0
331 0.785473 0.75502 0.446318 0.001 0 0
332 0.777706 0.788454 0.0962854 0.001 0 0
333 0.813756 0.648634 0.131608 0.001 0 0
334 0.0628035 0.0673737 0.206376 0.001 0 0
335 0.216181 0.630721 0.611994 0.001 0 0
336 0.273159 0.0277172 0.593743 0.001 0 0
337 0.541058 0.395264 0.0285263 0.001 0 0
338 0.507584 0.322241 0.256772 0.001 0 0
339 0.746668 0.891374 0.0346796 0.001 0 0
340 0.0672278 0.417915 0.274798 0.001 0 0
341 0.32623 0.814092 0.250467 0.001 0 0
342 0.724884 0.434183 0.22911 0.001 0 0
343 0.244162 0.354458 0.666784 0.001 0 0
344 0.656085 0.683775 0.869769 0.001 0 0
345 0.971199 0.80861 0.101141 0.001 0 0
346 0.942971 0.258965 0.251122 0.001 0 0
347 0.0731327 0.704195 0.16413 0.001 0 0
348 0.924514 0.893043 0.0790524 0.001 0 0
349 0.551456 0.503937 0.0668192 0.001 0 0
350 0.766041 0.274018 0.85608 0.001 0 0
351 0.245611 0.0527713 0.436709 0.001 0 0
352 0.372492 0.359197 0.83582 0.001 0 0
353 0.584805 0.0811057 0.0586512 0.001 0 0
354 0.0528533 0.302666 0.0735315 0.001 0 0
355 0.631369 0.0456879 0.816918 0.001 0 0
356 0.989821 0.979707 0.676971 0.001 0 0
357 0.36173 0.528233 0.244264 0.001 0 0
358 0.446735 0.0150974 0.0622306 0.001 0 0
359 0.484864 0.742037 0.347863 0.001 0 0
360 0.0732251 0.404894 0.835882 0.001 0 0
361 0.181008 0.238821 0.561665 0.001 0 0
362 0.294522 0.911794 0.915756 0.001 0 0
363 0.997464 0.435791 0.182392 0.001 0 0
364 0.270139 0.61518 0.675914 0.001 0 0
365 0.849874 0.81101 0.346307 0.001 0 0
366 0.773261 0.328799 0.0948161 0.001 0 0
367 0.427568 0.573604 0.409507 0.001 0 0
368 0.949964 0.774983 0.336957 0.001 0 0
369 0.0260916 0.841568 0.207115 0.001 0 0
370 0.238001 0.175395 0.798925 0.001 0 0
371 0.0192838 0.851319 0.901174 0.001 0 0
372 0.124947 0.586909 0.509925 0.001 0 0
373 0.90704 0.31183 0.10791 0.001 0 0
374 0.346312 0.382661 0.275244 0.001 0 0
375 0.514564 0.543346 0.0133779 0.001 0 0
376 0.282166 0.754611 0.222216 0.001 0 0
377 0.189442 0.236971 0.694151 0.001 0 0
378 0.64656 0.11395 0.293307 0.001 0 0
379 0.855733 0.454663 0.0564615 0.001 0 0
380 0.291118 0.992757 0.849541 0.001 0 0
381 0.961956 0.333627 0.338089 0.001 0 0
382 0.100035 0.529715 0.17959 0.001 0 0
383 0.073973 0.0880744 0.378289 0.001 0 0
384 0.495601 0.339913 0.176132 0.001 0 0
385 0.717512 0.42804 0.202829 0.001 0 0
386 0.088277 0.108473 0.594695 0.001 0 0
387 0.535347 0.35679 0.966525 0.001 0 0
388 0.926355 0.555107 0.760277 0.001 0 0
389 0.907556 0.917845 0.432838 0.001 0 0
390 0.743139 0.247222 0.926522 0.001 0 0
391 0.144755 0.275307 0.0503407 0.001 0 0
392 0.4787 0.833157 0.764911 0.001 0 0
393 0.212912 0.737327 0.778935 0.001 0 0
394 0.854292 0.151099 0.112528 0.001 0 0
395 0.982937 0.498778 0.645512 0.001 0 0
396 0.428912 0.0836963 0.975079 0.001 0 0
397 0.69487 0.8123 0.88182 0.001 0 0
398 0.733863 0.689646 0.160081 0.001 0 0
399 0.283283 0.663727 0.431569 0.001 0 0
400 0.365813 0.774742 0.0167543 0.001 0 0
401 0.421181 0.538255 0.782203 0.001 0 0
402 0.380478 0.327383 0.497349 0.001 0 0
403 0.418627 0.966085 0.301241 0.001 0 0
404 0.493675 0.684715 0.832451 0.001 0 0
405 0.326204 0.942234 0.417728 0.001 0 0
406 0.480638 0.441913 0.724362 0.001 0 0
407 0.751367 0.0142112 0.055064 0.001 0 0
408 0.660584 0.0486873 0.863762 0.001 0 0
409 0.918899 0.93895 0.514024 0.001 0 0
410 0.707008 0.641261 0.798311 0.001 0 0
411 0.672936 0.42574 0.298415 0.001 0 0
412 0.551316 0.6947 0.242085 0.001 0 0
413 0.142209 0.413425 0.68087 0.001 0 0
414 0.173408 0.874668 0.185917 0.001 0 0
415 0.995941 0.57625 0.556419 0.001 0 0
416 0.93937 0.668098 0.405181 0.001 0 0
417 0.341914 0.0316496 0.600622 0.001 0 0
418 0.34639 0.876535 0.548655 0.001 0 0
419 0.682431 0.644033 0.471029 0.001 0 0
420 0.966278 0.973508 0.331778 0.001 0 0
421 0.546147 0.268336 0.802073 0.001 0 0
422 0.725516 0.477235 0.709147 0.001 0 0
423 0.936435 0.193159 0.877945 0.001 0 0
424 0.0285967 0.421016 0.260633 0.001 0 0
425 0.633604 0.177326 0.659047 0.001 0 0
426 0.0952377 0.664468 0.112609 0.001 0 0
427 0.161874 0.959448 0.909099 0.001 0 0
428 0.909601 0.99508 0.340195 0.001 0 0
429 0.885727 0.339092 0.978022 0.001 0 0
430 0.419934 0.811659 0.976854 0.001 0 0
431 0.816019 0.596628 0.761185 0.001 0 0
432 0.0906566 0.0370191 0.707156 0.001 0 0
433 0.878458 0.0217819 0.355587 0.001 0 0
434 0.0607006 0.183743 0.435875 0.001 0 0
435 0.863171 0.810539 0.33923 0.001 0 0
436 0.181849 0.816251 0.992933 0.001 0 0
437 0.0827012 0.00808847 0.930444 0.001 0 0
438 0.247303 0.974912 0.514923 0.001 0 0
439 0.440295 0.765573 0.553115 0.001 0 0
440 0.0272761 0.353139 0.93316 0.001 0 0
441 0.683276 0.273202 0.782587 0.001 0 0
442 0.60441 0.247281 0.628389 0.001 0 0
443 0.346318 0.194716 0.664895 0.001 0 0
444 0.0650842 0.62602 0.669705 0.001 0 0
445 0.872917 0.708945 0.70112 0.001 0 0
446 0.368233 0.780694 0.688386 0.001 0 0
447 0.458306 0.645749 0.526911 0.001 0 0
448 0.998676 0.473854 0.439866 0.001 0 0
449 0.508924 0.0245036 0.0808904 0.001 0 0
450 0.630896 0.259703 0.999306 0.001 0 0
451 0.683475 0.769458 0.405398 0.001 0 0
452 0.00460842 0.401683 0.487563 0.001 0 0
453 0.501648 0.332265 0.981513 0.001 0 0
454 0.343157 0.228983 0.057298 0.001 0 0
455 0.498546 0.906812 0.977546 0.001 0 0
456 0.309554 0.947055 0.336057 0.001 0 0
457 0.575787 0.15973 0.734674 0.001 0 0
458 0.10137 0.507124 0.0742838 0.001 0 0
459 0.168409 0.949497 0.39163 0.001 0 0
460 0.916934 0.0050469 0.337996 0.001 0 0
461 0.599298 0.951388 0.448507 0.001 0 0
462 0.511444 0.579957 0.099818 0.001 0 0
463 0.865028 0.364274 0.110781 0.001 0 0
464 0.903847 0.219812 0.945043 0.001 0 0
465 0.679053 0.650724 0.26571 0.001 0 0
466 0.0995432 0.929723 0.59274 0.001 0 0
467 0.72208 0.148416 0.974857 0.001 0 0
468 0.257755 0.0772348 0.381043 0.001 0 0
469 0.246761 0.318661 0.712214 0.001 0 0
470 0.513636 0.683065 0.720348 0.001 0 0
471 0.419114 0.616018 0.995377 0.001 0 0
472 0.93386 0.680103 0.620981 0.001 0 0
473 0.244223 0.218654 0.0346789 0.001 0 0
474 0.541348 0.89397 0.725332 0.001 0 0
475 0.88749 0.136408 0.829837 0.001 0 0
476 0.73658 0.730364 0.666837 0.001 0 0
477 0.423265 0.587682 0.182916 0.001 0 0
478 0.0421979 0.600437 0.221424 0.001 0 0
479 0.328342 0.933956 0.392163 0.001 0 0
480 0.99792 0.413753 0.649275 0.001 0 0
481 0.233418 0.594265 0.61078 0.001 0 0
482 0.266778 0.029647 0.571521 0.001 0 0
483 0.0645127 0.0302013 0.138497 0.001 0 0
484 0.171794 0.682765 0.909646 0.001 0 0
485 0.778943 0.650908 0.979672 0.001 0 0
486 0.263383 0.701812 0.910348 0.001 0 0
487 0.312639 0.83579 0.274438 0.001 0 0
488 0.872682 0.511475 0.887117 0.001 0 0
489 0.37699 0.653606 0.526784 0.001 0 0
490 0.919487 0.789944 0.409189 0.001 0 0
491 0.603535 0.847859 0.34598 0.001 0 0
492 0.689326 0.441219 0.0335339 0.001 0 0
493 0.189246 0.521756 0.906754 0.001 0 0
494 0.196496 0.101111 0.293359 0.001 0 0
495 0.206586 0.118769 0.170215 0.001 0 0
496 0.510685 0.73707 0.490634 0.001 0 0
497 0.518653 0.910441 0.647517 0.001 0 0
498 0.761349 0.196657 0.583616 0.001 0 0
499 0.468812 0.656652 0.104534 0.001 0 0
500 0.0640827 0.388043 0.31873 0.001 0 0
501 0.386916 0.416736 0.190158 0.001 0 0
502 0.65191 0.712947 0.606396 0.001 0 0
503 0.487018 0.234096 0.916304 0.001 0 0
504 0.946232 0.62651 0.301778 0.001 0 0
505 0.597198 0.345251 0.637038 0.001 0 0
506 0.700642 0.152 0.26729 0.001 0 0
507 0.625757 0.308162 0.130034 0.001 0 0
508 0.261349 0.939784 0.256386 0.001 0 0
509 0.875639 0.274235 0.186398 0.001 0 0
510 0.129437 0.0342618 0.826233 0.001 0 0
511 0.586475 0.0371086 0.205499 0.001 0 0
512 0.706612 0.714204 0.6782 0.001 0 0
513 0.223631 0.491547 0.0261479 0.001 0 0
514 0.192914 0.894873 0.255166 0.001 0 0
515 0.656002 0.42972 0.502755 0.001 0 0
516 0.670714 0.871199 0.144599 0.001 0 0
517 0.562747 0.699463 0.554641 0.001 0 0
518 0.63513 0.579997 0.0393252 0.001 0 0
519 0.523076 0.740984 0.502488 0.001 0 0
520 0.478085 0.746257 0.284465 0.001 0 0
521 0.0301936 0.882396 0.400771 0.001 0 0
522 0.145947 0.437804 0.77665 0.001 0 0
523 0.95884 0.238754 0.245802 0.001 0 0
524 0.626154 0.619195 0.0752637 0.001 0 0
525 0.14837 0.71542 0.233514 0.001 0 0
526 0.344461 0.766295 0.612413 0.001 0 0
527 0.938725 0.149039 0.94757 0.001 0 0
528 0.160639 0.46081 0.555577 0.001 0 0
529 0.903381 0.011448 0.884881 0.001 0 0
530 0.905814 0.151537 0.512985 0.001 0 0
531 0.00170468 0.69223 0.0360948 0.001 0 0
532 0.676773 0.30689 0.0421675 0.001 0 0
533 0.746079 0.703881 0.137436 0.001 0 0
534 0.00911381 0.18717 0.0736731 0.001 0 0
535 0.94213 0.0549549 0.362173 0.001 0 0
536 0.670177 0.36784 0.801403 0.001 0 0
537 0.445047 0.699578 0.608587 0.001 0 0
538 0.387679 0.0223015 0.382072 0.001 0 0
539 0.19905 0.225364 0.219925 0.001 0 0
540 0.462907 0.601702 0.286562 0.001 0 0
541 0.207185 0.381752 0.948722 0.001 0 0
542 0.935353 0.721331 0.931471 0.001 0 0
543 0.495789 0.659394 0.26104 0.001 0 0
544 0.558775 0.849793 0.111847 0.001 0 0
545 0.196018 0.0307645 0.117183 0.001 0 0
546 0.96299 0.2851 0.626507 0.001 0 0
547 0.330852 0.333806 0.326633 0.001 0 0
548 0.279339 0.628011 0.567936 0.001 0 0
549 0.0358619 0.257352 0.508898 0.001 0 0
550 0.809306 0.364355 0.0896925 0.001 0 0
551 0.300644 0.886007 0.26458 0.001 0 0
